review_month,rating_1,rating_2,rating_3,rating_4,rating_5,total
2014-07,0,0,1,0,0,1
2014-08,0,0,0,0,0,0
2014-09,0,0,0,0,0,0
2014-10,0,0,0,0,0,0
2014-11,0,0,0,0,0,0
2014-12,0,0,0,0,0,0
2015-01,0,0,1,0,0,1
2015-02,0,0,1,0,0,1
2015-03,0,0,0,0,0,0
2015-04,0,0,0,0,0,0
2015-05,0,0,0,0,0,0
2015-06,0,0,3,0,0,3
2015-07,0,0,2,0,0,2
2015-08,0,0,0,0,0,0
2015-09,0,0,2,0,0,2
2015-10,0,0,2,0,0,2
2015-11,0,0,3,0,0,3
2015-12,0,0,2,0,0,2
2016-01,0,0,0,0,0,0
2016-02,0,0,2,0,0,2
2016-03,0,0,12,0,0,12
2016-04,0,0,106,0,0,106
2016-05,0,0,132,0,0,132
2016-06,0,0,266,0,0,266
2016-07,0,0,164,0,0,164
2016-08,0,0,210,0,0,210
2016-09,0,0,244,0,0,244
2016-10,0,0,172,0,0,172
2016-11,0,0,171,0,0,171
2016-12,0,0,280,0,0,280
2017-01,0,0,335,0,0,335
2017-02,0,0,138,0,0,138
2017-03,0,0,186,0,0,186
2017-04,0,0,145,0,0,145
2017-05,0,0,115,0,0,115
2017-06,0,0,123,0,0,123
2017-07,0,0,168,0,0,168
2017-08,0,0,146,0,0,146
2017-09,0,0,133,0,0,133
2017-10,0,0,142,0,0,142
2017-11,0,0,129,0,0,129
2017-12,0,0,143,0,0,143
2018-01,0,0,192,0,0,192
2018-02,0,0,207,0,0,207
2018-03,0,0,227,0,0,227
2018-04,0,0,142,0,0,142
2018-05,0,0,189,0,0,189
2018-06,0,0,344,0,0,344
2018-07,0,0,297,0,0,297
2018-08,0,0,251,0,0,251
2018-09,0,0,147,0,0,147
2018-10,0,0,352,0,0,352
2018-11,0,0,386,0,0,386
2018-12,0,0,268,0,0,268
2019-01,0,0,187,0,0,187
2019-02,0,0,230,0,0,230
2019-03,0,0,257,0,0,257
2019-04,0,0,245,0,0,245
2019-05,0,111,341,0,0,452
2019-06,0,149,278,0,0,427
2019-07,0,127,265,0,0,392
2019-08,0,114,239,0,0,353
2019-09,0,124,250,0,0,374
2019-10,0,146,253,0,0,399
2019-11,0,124,252,0,0,376
2019-12,0,123,241,0,0,364
2020-01,0,136,246,0,0,382
2020-02,0,100,183,0,0,283
2020-03,0,163,267,0,0,430
2020-04,0,199,321,0,0,520
2020-05,0,173,334,0,0,507
2020-06,0,172,283,0,0,455
2020-07,0,166,287,0,0,453
2020-08,0,191,235,0,0,426
2020-09,0,127,247,0,0,374
2020-10,0,156,267,0,0,423
2020-11,0,144,246,0,0,390
2020-12,0,161,205,0,0,366
2021-01,0,107,214,0,0,321
2021-02,0,106,176,0,0,282
2021-03,0,190,269,0,0,459
2021-04,0,155,225,0,0,380
2021-05,0,178,257,0,0,435
2021-06,0,141,208,0,0,349
2021-07,0,94,170,0,0,264
2021-08,0,112,178,0,0,290
2021-09,0,101,216,0,0,317
2021-10,0,115,151,0,0,266
2021-11,0,124,154,0,0,278
2021-12,0,140,188,0,0,328
2022-01,0,89,161,0,0,250
2022-02,0,128,167,0,0,295
2022-03,0,138,190,0,0,328
2022-04,0,161,167,0,0,328
2022-05,0,147,194,0,0,341
2022-06,0,168,172,0,0,340
2022-07,0,173,202,0,0,375
2022-08,0,142,192,0,0,334
2022-09,0,143,154,0,0,297
2022-10,0,150,169,0,0,319
2022-11,0,170,179,0,0,349
2022-12,0,139,218,0,0,357
2023-01,0,115,142,0,0,257
2023-02,0,84,112,0,0,196
2023-03,0,109,159,0,0,268
2023-04,0,106,160,0,0,266
2023-05,0,134,189,0,0,323
2023-06,0,269,365,0,0,634
2023-07,0,249,378,95,0,722
2023-08,0,233,291,529,0,1053
2023-09,0,357,357,448,0,1162
2023-10,0,384,487,572,0,1443
2023-11,0,299,320,498,0,1117
2023-12,0,412,495,621,0,1528
2024-01,0,344,421,569,0,1334
2024-02,0,314,331,414,0,1059
2024-03,0,266,296,366,0,928
2024-04,0,211,224,344,0,779
2024-05,0,463,455,671,0,1589
2024-06,397,240,305,502,0,1444
2024-07,776,201,247,460,0,1684
2024-08,731,143,183,368,0,1425
2024-09,670,177,192,364,0,1403
2024-10,574,151,173,357,0,1255
2024-11,576,150,168,361,0,1255
2024-12,1378,268,331,486,0,2463
2025-01,869,217,223,441,0,1750
2025-02,721,181,190,409,0,1501
2025-03,679,180,219,428,0,1506
2025-04,765,194,205,497,0,1661
2025-05,533,149,185,491,0,1358
2025-06,633,172,210,495,0,1510
2025-07,585,140,203,419,0,1347
2025-08,559,110,127,283,0,1079
2025-09,787,131,162,393,0,1473
2025-10,671,148,190,365,0,1374
2025-11,879,211,209,344,2186,3829
2025-12,952,242,298,505,3602,5599
2026-01,626,157,235,440,3430,4888
2026-02,814,133,174,362,2850,4333
2026-03,3011,366,353,405,3033,7168
2026-04,1311,247,283,471,3447,5759
2026-05,503,126,124,227,1452,2432
