review_month,total
2014-07,1
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,1
2015-02,1
2015-03,0
2015-04,0
2015-05,0
2015-06,3
2015-07,2
2015-08,0
2015-09,2
2015-10,2
2015-11,3
2015-12,2
2016-01,0
2016-02,2
2016-03,12
2016-04,106
2016-05,132
2016-06,266
2016-07,164
2016-08,210
2016-09,244
2016-10,172
2016-11,171
2016-12,280
2017-01,335
2017-02,138
2017-03,186
2017-04,145
2017-05,115
2017-06,123
2017-07,168
2017-08,146
2017-09,133
2017-10,142
2017-11,129
2017-12,143
2018-01,192
2018-02,207
2018-03,227
2018-04,142
2018-05,189
2018-06,344
2018-07,297
2018-08,251
2018-09,147
2018-10,352
2018-11,386
2018-12,268
2019-01,187
2019-02,230
2019-03,257
2019-04,245
2019-05,452
2019-06,427
2019-07,392
2019-08,353
2019-09,374
2019-10,399
2019-11,376
2019-12,364
2020-01,382
2020-02,283
2020-03,430
2020-04,520
2020-05,507
2020-06,455
2020-07,453
2020-08,426
2020-09,374
2020-10,423
2020-11,390
2020-12,366
2021-01,321
2021-02,282
2021-03,459
2021-04,380
2021-05,435
2021-06,349
2021-07,264
2021-08,290
2021-09,317
2021-10,266
2021-11,278
2021-12,328
2022-01,250
2022-02,295
2022-03,328
2022-04,328
2022-05,341
2022-06,340
2022-07,375
2022-08,334
2022-09,297
2022-10,319
2022-11,349
2022-12,357
2023-01,257
2023-02,196
2023-03,268
2023-04,266
2023-05,323
2023-06,634
2023-07,722
2023-08,1053
2023-09,1162
2023-10,1443
2023-11,1117
2023-12,1528
2024-01,1334
2024-02,1059
2024-03,928
2024-04,779
2024-05,1589
2024-06,1444
2024-07,1684
2024-08,1425
2024-09,1403
2024-10,1255
2024-11,1255
2024-12,2463
2025-01,1750
2025-02,1501
2025-03,1506
2025-04,1661
2025-05,1358
2025-06,1510
2025-07,1347
2025-08,1079
2025-09,1473
2025-10,1374
2025-11,3829
2025-12,5599
2026-01,4888
2026-02,4333
2026-03,7168
2026-04,5759
2026-05,2432
