respondent_id,respondent_role,comparison_id,criterion_a,criterion_b,preferred_criterion,intensity_saaty,ahp_value_a_over_b,justification,run_label,not_final_expert_judgement
SAMPLE_DEV,Development sample,P01,"Features, Content & Audio Experience",App Reliability & Usability,criterion_b,3,0.3333333333333333,"Sample development only, not final expert judgement.",sample_development_only,true
SAMPLE_DEV,Development sample,P02,"Features, Content & Audio Experience",Ads Experience,criterion_a,3,3,"Sample development only, not final expert judgement.",sample_development_only,true
SAMPLE_DEV,Development sample,P03,"Features, Content & Audio Experience",Subscription & Pricing,equal,1,1,"Sample development only, not final expert judgement.",sample_development_only,true
SAMPLE_DEV,Development sample,P04,"Features, Content & Audio Experience",Account/Login,criterion_a,3,3,"Sample development only, not final expert judgement.",sample_development_only,true
SAMPLE_DEV,Development sample,P05,App Reliability & Usability,Ads Experience,criterion_a,9,9,"Sample development only, not final expert judgement.",sample_development_only,true
SAMPLE_DEV,Development sample,P06,App Reliability & Usability,Subscription & Pricing,criterion_a,3,3,"Sample development only, not final expert judgement.",sample_development_only,true
SAMPLE_DEV,Development sample,P07,App Reliability & Usability,Account/Login,criterion_a,9,9,"Sample development only, not final expert judgement.",sample_development_only,true
SAMPLE_DEV,Development sample,P08,Ads Experience,Subscription & Pricing,criterion_b,3,0.3333333333333333,"Sample development only, not final expert judgement.",sample_development_only,true
SAMPLE_DEV,Development sample,P09,Ads Experience,Account/Login,equal,1,1,"Sample development only, not final expert judgement.",sample_development_only,true
SAMPLE_DEV,Development sample,P10,Subscription & Pricing,Account/Login,criterion_a,3,3,"Sample development only, not final expert judgement.",sample_development_only,true
